Title,Company,Career,academic,Location,Type,Skill,Address,Company_link,Title_link,S_day,D_day
[INEEJI] (주)인이지 인공지능연구소 데이터분석가/AI엔지니어 채용,㈜인이지,신입·경력3년↑,대졸↑,서울 서초구,정규직 외,"Docker, Git, MongoDB, MySQL, Python, Pytorch, Tensorflow, Linux","서울 서초구 서초대로 397 (서초동, 부띠크 모나코) 602호",https://www.jobkorea.co.kr/Recruit/Co_Read/C/32823556,https://www.jobkorea.co.kr/Recruit/GI_Read/44744872?rPageCode=SL&logpath=21&sn=6,2024.05.22(수),2024.06.07(금)
[Vueron] 라이다/자율주행 딥러닝 개발자,㈜뷰런테크놀로지,신입·경력1년↑,석사↑,서울 서초구,정규직 외,"C, C++, Python","서울 서초구 강남대로 311 (서초동, 한화생명보험빌딩) 13층",https://www.jobkorea.co.kr/Recruit/Co_Read/C/30398448,https://www.jobkorea.co.kr/Recruit/GI_Read/44737904?rPageCode=SL&logpath=21&sn=6,2024.05.22(수),2024.06.21(금)
[주 1회 재택근무/고정요일지정] NLP/AI Engineer,㈜바이오리서치에이아이,경력무관,학력무관,서울 강남구,정규직 외,"AWS, Python","서울 강남구 테헤란로10길 18 (역삼동, 하나빌딩) 2층",https://www.jobkorea.co.kr/Recruit/Co_Read/C/40240741,https://www.jobkorea.co.kr/Recruit/GI_Read/44739319?rPageCode=SL&logpath=21&sn=6,상시채용,상시채용
[다이퀘스트] 데이터 분석 및 지식 구축 모집,㈜다이퀘스트,경력무관,대졸↑,서울 구로구,정규직,"JAVA, OracleDB, Python, SQL, Microsoft Office, 컴퓨터활용능력, Ai",서울 구로구 구로동 222-8 코오롱디지털타워빌란트Ⅱ,https://www.jobkorea.co.kr/Recruit/Co_Read/C/62965,https://www.jobkorea.co.kr/Recruit/GI_Read/44738653?rPageCode=SL&logpath=21&sn=6,2024.05.22(수),2024.06.05(수)
[Medipixel] Product Owner,메디픽셀,경력3년↑,대졸↑,서울 강남구,정규직,,"서울 강남구 테헤란로108길 22 (대치동, 서경빌딩) ",https://www.jobkorea.co.kr/Recruit/Co_Read/C/35234944,https://www.jobkorea.co.kr/Recruit/GI_Read/44726620?rPageCode=SL&logpath=21&sn=6,2024.05.21(화),2024.07.01(월)
연구소장님을 모십니다. (인공지능 비전시스템 개발 총괄 및 개발),㈜한국정보공작소,경력7년↑,대졸↑,서울 금천구,정규직,"JAVA, MSSQL, MySQL, PHP, Python, R, SQL","서울 금천구 가산디지털1로 45 (가산동, 이앤씨드림타워8차) 1106호",https://www.jobkorea.co.kr/Recruit/Co_Read/C/12627257,https://www.jobkorea.co.kr/Recruit/GI_Read/44733147?rPageCode=SL&logpath=21&sn=6,2024.05.21(화),2024.06.20(목)
AI 서비스 기획자 채용,엠클라우드브리지㈜,경력5년↑,대졸↑,서울 강남구,정규직,우대전공전산학·컴퓨터공학,"서울 강남구 테헤란로 242 (역삼동, 유창빌딩) 7층, 엠클라우드브리지",https://www.jobkorea.co.kr/Recruit/Co_Read/C/38478799,https://www.jobkorea.co.kr/Recruit/GI_Read/44730622?rPageCode=SL&logpath=21&sn=6,2024.05.21(화),2024.06.15(토)
AI 컨설턴트/AI 마케터,㈜메디치소프트,경력무관,대졸↑,서울 구로구 외,정규직 외,"Google Analytics, PowerPoint, 도식화, 해외 마케팅","서울 영등포구 국회대로70길 18 (여의도동, 한양빌딩) 7층",https://www.jobkorea.co.kr/Recruit/Co_Read/C/18593641,https://www.jobkorea.co.kr/Recruit/GI_Read/44735385?rPageCode=SL&logpath=21&sn=6,상시채용,상시채용
DX TF 엔지니어 채용,에스디티 주식회사,경력3년↑,초대졸↑,서울 강남구,정규직,기본우대관련 학과 전공자우대전공기계·메카트로닉스·로봇,서울 강남구 테헤란로44길 5 (역삼동) 대아빌딩 10층,https://www.jobkorea.co.kr/Recruit/Co_Read/C/32955045,https://www.jobkorea.co.kr/Recruit/GI_Read/44724370?rPageCode=SL&logpath=21&sn=6,2024.05.20(월),2024.06.30(일)
[AI 전문기업 덴컴] 음성 전처리 엔지니어 채용,㈜덴컴,경력5년↑,대졸↑,서울 강남구 외,정규직,"Matlab, Python","서울 강남구 삼성로85길 26 (대치동, V&S) 14층",https://www.jobkorea.co.kr/Recruit/Co_Read/C/43758897,https://www.jobkorea.co.kr/Recruit/GI_Read/44719880?rPageCode=SL&logpath=21&sn=6,2024.05.20(월),2024.06.19(수)
